UnixTime,p,v,h,filtered_v,filted_h
15690,94101.25,-0.0,-25.871506,-4.4542203,-8.619426
15742,94101.25,-0.0,-25.871506,-3.8342447,-8.811138
15794,94101.12,23.962124,-24.6734,-2.9747462,-8.959876
15845,94100.86,46.509346,-22.347933,-2.2983477,-9.074794
15897,94100.81,8.457056,-21.92508,-2.213777,-9.185483
15949,94100.34,84.546555,-17.697752,-1.6219754,-9.266582
16000,94100.516,-31.004545,-19.247978,-1.9883673,-9.365999
16052,94100.46,9.865076,-18.754725,-2.3967986,-9.485839
16104,94100.695,-42.282932,-20.868872,-2.819628,-9.626821
16155,94100.59,18.318764,-19.952934,-2.7773352,-9.765688
16207,94100.516,14.09243,-19.248312,-2.8617883,-9.908776
16259,94100.3,39.460373,-17.275295,-2.523519,-10.034953
16311,94100.46,-29.590076,-18.754799,-2.8194199,-10.175924
16362,94100.3,29.590702,-17.275263,-2.2276654,-10.287307
16414,94100.56,-47.910572,-19.670792,-2.509562,-10.412786
16466,94100.74,-32.400635,-21.290823,-2.9180796,-10.558689
16517,94100.914,-31.004444,-22.841045,-3.5380232,-10.735591
16569,94100.77,25.387472,-21.571672,-3.2841485,-10.899797
16621,94100.66,21.155453,-20.513899,-3.3828604,-11.068941
16672,94100.484,31.02745,-18.962526,-2.5649676,-11.197189
16724,94100.69,-36.671604,-20.796106,-2.6215081,-11.328264
16776,94100.5,33.852745,-19.10347,-2.282981,-11.442413
16827,94100.5,-0.0,-19.10347,-2.3957849,-11.562202
16879,94100.336,29.629808,-17.621979,-1.7751504,-11.650959
16931,94100.31,4.230696,-17.410444,-1.7328434,-11.737601
16982,94100.39,-14.104523,-18.11567,-1.7751819,-11.826361
17034,94100.336,9.870488,-17.622145,-1.7751688,-11.915119
17086,94100.56,-40.895126,-19.6669,-2.1841202,-12.024325
17137,94100.56,-0.0,-19.6669,-2.085405,-12.128595
17189,94100.74,-32.444675,-21.289135,-2.409852,-12.249087
17241,94100.56,32.42779,-19.667746,-2.5085971,-12.374517
17292,94100.39,31.025747,-18.116459,-2.5931072,-12.504172
17344,94100.39,-0.0,-18.116459,-2.6495106,-12.636648
17396,94100.44,-8.461736,-18.539547,-2.6777358,-12.770535
17447,94100.53,-16.921852,-19.38564,-3.0020392,-12.920637
17499,94100.36,31.019852,-17.834646,-2.3675928,-13.039017
17551,94100.39,-5.641069,-18.1167,-2.08565,-13.143299
17602,94100.39,-0.0,-18.1167,-2.08565,-13.247582
17654,94100.39,-0.0,-18.1167,-1.7754041,-13.336353
17757,94100.36,-7.049178,-17.834414,-1.9162725,-13.524455
17861,94100.32,14.101132,-17.481857,-2.29686,-13.741456
17913,94100.32,-0.0,-17.481857,-2.4519162,-13.864052
17964,94100.21,19.745068,-16.494604,-2.6632605,-13.997215
18016,94099.89,57.803856,-13.604411,-1.8314683,-14.088789
18068,94099.87,4.230283,-13.392897,-1.7891655,-14.1782465
18119,94099.89,-4.2297144,-13.604383,-1.9442707,-14.27546
18171,94099.89,-0.0,-13.604383,-1.9442707,-14.372674
18223,94099.89,-0.0,-13.604383,-1.8314954,-14.464249
18274,94099.55,62.056435,-10.501561,-0.9008186,-14.509289
18326,94099.47,14.096623,-9.79673,-1.0698934,-14.562784
18378,94099.44,5.639736,-9.514744,-1.2672108,-14.626145
18429,94099.63,-35.25105,-11.277296,-1.6197214,-14.707131
18481,94099.6,5.639726,-10.99531,-1.4505253,-14.779658
18533,94099.63,-5.640277,-11.277324,-1.5069281,-14.855005
18584,94099.6,5.638744,-10.995386,-1.3659339,-14.923302
18636,94099.6,-0.0,-10.995386,-1.3659339,-14.991598
18688,94099.54,11.280322,-10.43137,-1.5774682,-15.070471
18739,94099.51,5.6389575,-10.149423,-1.5210787,-15.146525
18791,94099.51,-0.0,-10.149423,-1.6056931,-15.2268095
18843,94099.375,23.96748,-8.951049,-1.3660183,-15.295111
18894,94099.336,7.0485735,-8.598619,-1.7749236,-15.383858
18946,94099.3,7.047204,-8.24626,-1.7608359,-15.471899
18998,94099.336,-7.0498004,-8.598749,-1.9159211,-15.567696
19050,94098.99,62.022865,-5.4976063,-1.2956924,-15.632481
19101,94099.03,-7.048739,-5.8500433,-1.36618,-15.7007885
19153,94098.82,38.05661,-3.9472125,-0.9856138,-15.75007
19205,94098.64,32.421165,-2.3261542,-0.46403706,-15.7732725
19256,94098.6,7.048347,-1.9737369,-0.2807801,-15.787311
19308,94098.64,-7.0482163,-2.3261476,0.043413725,-15.78514
19360,94098.78,-25.369585,-3.594627,-0.29485998,-15.799883
19411,94098.78,-0.0,-3.594627,-0.29485998,-15.814627
19463,94098.78,-0.0,-3.594627,0.7765661,-15.775798
19515,94098.82,-7.0494294,-3.9470983,1.0302875,-15.724283
19567,94098.99,-31.007835,-5.49749,1.0162714,-15.6734705
19618,94099.2,-38.057228,-7.4003515,0.7343849,-15.636751
19670,94099.164,7.04695,-7.048004,0.86124074,-15.59369
19722,94099.164,-0.0,-7.048004,0.8048574,-15.553446
19773,94098.99,31.012035,-5.497402,1.4813964,-15.479377
19825,94098.95,7.0462756,-5.1450887,1.5518591,-15.401784
19877,94098.86,16.911116,-4.2995324,1.7209703,-15.315735
19928,94098.336,94.41545,0.4212398,2.8625302,-15.172608
19980,94098.43,-16.912539,-0.42438713,2.5383513,-15.045691
20032,94098.32,19.728664,0.5620462,3.1161876,-14.889881
20084,94098.26,11.274828,1.1257876,3.355758,-14.722093
20135,94098.26,-0.0,1.1257876,3.355758,-14.554304
20187,94098.336,-14.095189,0.4210281,3.5391014,-14.377348
20239,94098.32,2.8183262,0.5619444,3.863312,-14.184183
20290,94098.17,26.777279,1.9008086,4.229722,-13.972696
20342,94098.06,19.727911,2.8872042,4.5961156,-13.742891
20394,94097.914,26.76993,4.225701,4.863815,-13.4997
20446,94097.695,39.455055,6.1984534,4.9341216,-13.252993
20497,94097.695,-0.0,6.1984534,5.413235,-12.982331
20549,94097.56,23.9612,7.396513,5.9488273,-12.684889
20601,94097.43,23.951895,8.594108,6.498366,-12.359971
20652,94096.95,85.95313,12.891765,7.752612,-11.972341
20704,94096.63,57.775146,15.780522,8.499515,-11.547364
20756,94096.195,78.91412,19.726229,9.119547,-11.091387
20808,94095.73,84.5559,23.954023,9.965106,-10.593132
20859,94095.46,47.911346,26.349592,10.44422,-10.070921
20911,94095.54,-14.088532,25.645166,10.303334,-9.555754
20963,94095.46,14.088514,26.349592,10.204597,-9.045525
21014,94095.54,-14.088472,25.64517,9.598619,-8.565594
21066,94095.44,18.316414,26.56099,9.697213,-8.080732
21118,94095.44,-0.0,26.56099,8.851748,-7.6381454
21170,94095.5,-11.272079,25.997385,9.049073,-7.185692
21221,94095.54,-7.0454626,25.645113,8.879968,-6.741693
21273,94095.5,7.0435514,25.99729,9.373232,-6.273031
21325,94095.44,11.269024,26.560741,9.302733,-5.8078947
21376,94095.84,-73.26683,22.8974,8.429142,-5.3864374
21428,94095.58,47.893223,25.292059,8.513471,-4.960764
21480,94095.78,-36.626324,23.460743,8.443109,-4.5386086
21532,94095.695,15.493636,24.235424,8.302137,-4.1235013
21583,94095.516,32.40649,25.85575,9.105309,-3.668236
